Company,Price,Change,PercentageChange
DAL Delta Air Lines Inc,32.38,3.91,13.73%
BA Boeing Co,184.3,11.14,6.43%
WFC Wells Fargo & Co,30.22,1.39,4.82%
LUV Southwest Airlines Co,38.27,1.85,5.08%
ULTA Ulta Beauty Inc,237.31,8.56,3.74%
AAP Advance Auto Parts Inc,161.22,5.53,3.55%
CTL CenturyLink Inc,12.92,0.4,3.19%
EQIX Equinix Inc,581.71,15.26,2.69%
KMX Carmax Inc,86.9,2.27,2.68%
PH Parker-Hannifin Corp,181.06,4.02,2.27%
VFC VF Corp,87.6,1.93,2.25%
XRAY Dentsply Sirona Inc,52.28,1.15,2.25%
JEF Jefferies Financial Group Inc,19.89,0.43,2.21%
ROST Ross Stores Inc,107.03,2.28,2.18%
